zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
90240,0.71,0.02,0.06,35.3,0.01,0.21,0.71,0.74,0.57,100863.8
90241,0.66,0.03,0.07,36.01,0.01,0.22,0.78,0.74,0.49,82092.2
90242,0.56,0.06,0.07,32.94,0.01,0.19,0.73,0.73,0.48,74950.88
90245,0.76,0.02,0.09,38.97,0.02,0.51,0.95,0.8,0.46,137178.25
90247,0.24,0.17,0.29,38.44,0.01,0.23,0.8,0.72,0.46,69521.33
90248,0.3,0.26,0.24,40.34,0.02,0.23,0.8,0.7,0.46,77231.09
90249,0.19,0.47,0.1,41.77,0.02,0.21,0.82,0.72,0.45,81570.0
90250,0.31,0.23,0.09,34.31,0.02,0.2,0.77,0.74,0.38,69310.83
90254,0.86,0.0,0.06,42.15,0.01,0.72,0.98,0.81,0.54,247162.0
90255,0.63,0.01,0.01,31.41,0.01,0.06,0.43,0.67,0.51,51401.86
90260,0.43,0.11,0.1,35.38,0.01,0.18,0.73,0.73,0.47,73575.5
90261,0.72,0.02,0.14,39.3,0.01,0.59,0.95,0.75,0.6,161029.0
90262,0.62,0.07,0.01,29.4,0.01,0.08,0.55,0.64,0.52,62568.11
90265,0.86,0.02,0.05,44.88,0.01,0.63,0.97,0.67,0.54,259070.83
90266,0.82,0.01,0.09,43.35,0.01,0.77,0.99,0.78,0.53,294122.75
90267,0.83,0.01,0.11,42.7,-0.02,0.8,0.98,0.67,0.67,360694.0
90270,0.78,0.01,0.0,29.73,0.01,0.05,0.44,0.7,0.5,52232.86
90272,0.88,0.01,0.07,47.12,0.03,0.78,0.99,0.71,0.58,349188.8
90274,0.67,0.02,0.24,49.77,0.0,0.69,0.98,0.7,0.7,232206.0
90275,0.58,0.03,0.29,48.96,0.0,0.62,0.95,0.72,0.62,171895.88
90277,0.8,0.02,0.09,42.19,0.01,0.63,0.97,0.82,0.41,170536.62
90278,0.64,0.04,0.18,39.74,0.01,0.52,0.95,0.76,0.53,139359.33
90280,0.62,0.02,0.0,31.57,0.01,0.08,0.54,0.69,0.48,57440.4
90290,0.84,0.01,0.09,50.3,0.03,0.68,0.98,0.64,0.5,241857.0
90291,0.74,0.09,0.05,37.33,0.01,0.59,0.91,0.81,0.32,138561.5
90292,0.8,0.04,0.08,41.42,0.0,0.66,0.96,0.8,0.3,182957.75
90293,0.62,0.09,0.17,36.33,-0.01,0.62,0.96,0.8,0.33,161496.67
90294,0.84,0.05,0.04,36.8,0.01,0.7,0.98,0.82,0.25,159888.0
90296,0.85,0.02,0.05,44.4,-0.01,0.71,0.99,0.8,0.47,257384.0
90301,0.25,0.38,0.02,34.4,0.02,0.14,0.71,0.72,0.34,65871.67
90302,0.32,0.42,0.01,33.66,0.03,0.23,0.77,0.72,0.32,59920.8
90303,0.31,0.26,0.02,32.41,0.02,0.11,0.65,0.68,0.45,62975.5
90304,0.47,0.07,0.02,30.07,0.01,0.09,0.53,0.7,0.48,54505.57
90305,0.1,0.79,0.01,44.6,0.02,0.33,0.91,0.72,0.32,91407.0
90307,0.17,0.68,0.0,54.7,0.03,0.23,0.85,0.71,0.19,65978.0
90401,0.81,0.02,0.09,40.05,-0.0,0.7,0.97,0.82,0.28,135882.5
90402,0.87,0.01,0.09,51.0,-0.01,0.77,0.99,0.61,0.62,398543.0
90403,0.81,0.02,0.09,40.78,-0.0,0.74,0.97,0.8,0.32,201540.67
90404,0.67,0.08,0.1,38.2,-0.0,0.55,0.89,0.75,0.26,111294.0
90405,0.76,0.04,0.1,40.59,0.01,0.62,0.92,0.79,0.34,164016.29
90501,0.32,0.08,0.27,36.43,0.02,0.31,0.81,0.75,0.47,81223.5
90502,0.32,0.07,0.32,43.1,0.01,0.28,0.8,0.74,0.49,82782.0
90503,0.48,0.02,0.39,40.9,0.01,0.52,0.94,0.73,0.52,117177.33
90504,0.43,0.04,0.34,41.15,0.01,0.33,0.88,0.74,0.56,109595.0
90505,0.53,0.02,0.35,43.55,0.01,0.53,0.96,0.78,0.58,139310.67
90601,0.52,0.01,0.07,37.9,0.01,0.23,0.83,0.73,0.49,92735.0
90602,0.44,0.02,0.03,33.22,0.01,0.15,0.78,0.7,0.39,60453.4
90603,0.66,0.02,0.06,40.1,0.01,0.31,0.92,0.74,0.62,117070.5
90604,0.54,0.01,0.06,35.2,0.01,0.16,0.81,0.7,0.59,88018.0
90605,0.52,0.02,0.04,35.04,0.01,0.2,0.8,0.7,0.59,93972.0
90606,0.46,0.01,0.01,37.17,0.02,0.13,0.7,0.7,0.57,79452.57
90607,0.79,0.01,0.03,38.3,0.01,0.28,0.9,0.72,0.58,106868.0
90623,0.42,0.06,0.44,41.67,0.0,0.42,0.89,0.73,0.69,120344.67
90630,0.53,0.05,0.34,41.47,0.01,0.41,0.93,0.75,0.62,119474.18
90631,0.58,0.01,0.16,37.34,0.01,0.29,0.84,0.73,0.56,105729.86
