zipcode,confirmed_cases,deaths
92599,70309,1331
92544,70309,1331
92557,70309,1331
92539,70309,1331
92545,70309,1331
92536,70309,1331
92276,70309,1331
92881,70309,1331
92320,70309,1331
92878,70309,1331
92373,70309,1331
92549,70309,1331
92507,70309,1331
92561,70309,1331
92264,70309,1331
92260,70309,1331
92274,70309,1331
92253,70309,1331
92254,70309,1331
92211,70309,1331
92586,70309,1331
92585,70309,1331
92587,70309,1331
92571,70309,1331
92263,70309,1331
92589,70309,1331
92247,70309,1331
92226,70309,1331
92508,70309,1331
92532,70309,1331
92563,70309,1331
92262,70309,1331
92234,70309,1331
92248,70309,1331
92583,70309,1331
92593,70309,1331
92879,70309,1331
92531,70309,1331
92562,70309,1331
92518,70309,1331
92270,70309,1331
92225,70309,1331
92235,70309,1331
92581,70309,1331
92591,70309,1331
92883,70309,1331
92261,70309,1331
92564,70309,1331
91708,70309,1331
92548,70309,1331
92553,70309,1331
92567,70309,1331
92546,70309,1331
92552,70309,1331
91752,70309,1331
92241,70309,1331
92220,70309,1331
92592,70309,1331
92519,70309,1331
92514,70309,1331
92399,70309,1331
92258,70309,1331
92543,70309,1331
92501,70309,1331
92506,70309,1331
92582,70309,1331
92880,70309,1331
92572,70309,1331
92556,70309,1331
95757,27278,506
95819,27278,506
95864,27278,506
95630,27278,506
95673,27278,506
95641,27278,506
94571,27278,506
95840,27278,506
95816,27278,506
95814,27278,506
95838,27278,506
95835,27278,506
95638,27278,506
95626,27278,506
95693,27278,506
95615,27278,506
95894,27278,506
95836,27278,506
95841,27278,506
95832,27278,506
95829,27278,506
95611,27278,506
95652,27278,506
95763,27278,506
95865,27278,506
95852,27278,506
95690,27278,506
95759,27278,506
95813,27278,506
95818,27278,506
95817,27278,506
95820,27278,506
95741,27278,506
95837,27278,506
95831,27278,506
95609,27278,506
95830,27278,506
95680,27278,506
95823,27278,506
95758,27278,506
95742,27278,506
95811,27278,506
95827,27278,506
95825,27278,506
95632,27278,506
95670,27278,506
95608,27278,506
95610,27278,506
95628,27278,506
95866,27278,506
95867,27278,506
95639,27278,506
95822,27278,506
95815,27278,506
95833,27278,506
95624,27278,506
95671,27278,506
95821,27278,506
95683,27278,506
95843,27278,506
95834,27278,506
95842,27278,506
95662,27278,506
95660,27278,506
95860,27278,506
95655,27278,506
95824,27278,506
95828,27278,506
95826,27278,506
95851,27278,506
95621,27278,506
95812,27278,506
95853,27278,506
95678,27278,506
95043,1491,15
95004,1491,15
95045,1491,15
95023,1491,15
95024,1491,15
95075,1491,15
93925,1491,15
92410,67196,1092
92411,67196,1092
91730,67196,1092
91762,67196,1092
92373,67196,1092
92345,67196,1092
92312,67196,1092
92315,67196,1092
91759,67196,1092
92278,67196,1092
92317,67196,1092
91737,67196,1092
92277,67196,1092
92308,67196,1092
92324,67196,1092
92325,67196,1092
92365,67196,1092
91784,67196,1092
92363,67196,1092
91743,67196,1092
92415,67196,1092
92364,67196,1092
92350,67196,1092
92341,67196,1092
92338,67196,1092
92322,67196,1092
92321,67196,1092
92385,67196,1092
92304,67196,1092
92225,67196,1092
91739,67196,1092
92285,67196,1092
92310,67196,1092
92311,67196,1092
92313,67196,1092
92399,67196,1092
92356,67196,1092
92337,67196,1092
92352,67196,1092
92401,67196,1092
91786,67196,1092
92309,67196,1092
92347,67196,1092
92327,67196,1092
