zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
94954,0.78,0.01,0.05,40.05,0.0,0.34,0.89,0.78,0.57,117280.12
94955,0.84,0.0,0.06,44.7,0.0,0.42,0.95,0.77,0.59,125322.0
94957,0.9,0.01,0.04,49.3,-0.01,0.67,0.99,0.76,0.52,168437.0
94960,0.91,0.01,0.04,47.77,-0.0,0.73,0.96,0.76,0.64,243408.67
94965,0.8,0.07,0.04,48.08,0.02,0.61,0.96,0.76,0.43,197548.2
94970,0.91,0.0,0.02,57.7,0.03,0.65,0.98,0.8,0.41,146814.0
94976,0.83,0.01,0.05,46.8,0.0,0.64,0.98,0.84,0.52,204993.0
94977,0.88,0.01,0.05,50.3,-0.0,0.74,0.97,0.78,0.51,224641.0
95003,0.88,0.01,0.03,48.13,0.01,0.52,0.97,0.73,0.58,137808.67
95004,0.92,0.0,0.02,39.2,0.01,0.3,0.89,0.73,0.76,135978.0
95005,0.92,0.0,0.01,40.9,0.01,0.31,0.94,0.71,0.48,104605.0
95006,0.88,0.01,0.03,48.5,0.02,0.47,0.96,0.69,0.52,161035.0
95008,0.65,0.03,0.22,40.09,0.01,0.55,0.94,0.79,0.57,162490.0
95010,0.86,0.01,0.04,41.83,0.02,0.39,0.92,0.79,0.43,110491.0
95011,0.65,0.02,0.18,38.2,0.01,0.43,0.92,0.84,0.38,120212.0
95012,0.59,0.01,0.02,28.6,0.01,0.07,0.52,0.69,0.58,54945.0
95014,0.34,0.02,0.6,41.31,0.01,0.75,0.97,0.73,0.64,206787.57
95018,0.87,0.01,0.02,47.0,0.0,0.44,0.98,0.79,0.62,124025.0
95019,0.6,0.01,0.03,31.05,0.02,0.12,0.59,0.73,0.5,74392.0
95020,0.74,0.02,0.07,36.68,0.02,0.23,0.78,0.76,0.55,113223.09
95023,0.83,0.01,0.02,37.51,0.01,0.19,0.79,0.73,0.6,101509.91
95030,0.78,0.01,0.17,49.0,0.0,0.75,0.96,0.68,0.62,304592.5
95032,0.75,0.01,0.17,43.38,0.01,0.62,0.96,0.77,0.56,196546.5
95033,0.9,0.01,0.02,44.0,0.03,0.41,0.97,0.77,0.5,138438.0
95035,0.22,0.03,0.64,37.93,0.02,0.47,0.87,0.76,0.63,141043.13
95036,0.15,0.05,0.64,33.3,0.02,0.54,0.87,0.56,0.55,133650.0
95037,0.72,0.02,0.1,39.53,0.01,0.39,0.9,0.76,0.65,155497.29
95039,0.63,0.0,0.01,28.7,0.01,0.07,0.6,0.74,0.64,77572.0
95044,0.91,0.0,0.03,45.5,0.01,0.62,0.98,0.81,0.68,203868.0
